Name,Address,University,BusinessType,Neighborhood,City,State,NumRatings,Rating,Latitude,Longitude
Broadway Farmer's Market,Broadway at 115th St Morningside Heights New York NY 10027,'Columbia University','Specialty Food' 'Food' 'Fruits & Veggies','Morningside Heights',New York,NY,5,4.5,40.8073056,-73.9642983
American Sewing & Vacuum Center,Princeton Shopping C Princeton NJ 08540,'Princeton University',,,Princeton,NJ,3,2.5,40.36412,-74.652203
Juice Box Cafe,735 Copeland St Lower Level Shadyside Pittsburgh PA 15232,'Carnegie Mellon University','Food' 'Juice Bars & Smoothies','Shadyside',Pittsburgh,PA,12,3.5,40.4511759,-79.934574
Blue Hand,2323 University Blvd West University Houston TX 77005,'Rice University','Kitchen & Bath' 'Shopping' 'Home Decor' 'Home & Garden','West University',Houston,TX,4,3,29.7149772,-95.4137138
Tres Jolie,350 S Lake Ave Suite 114 Pasadena Pasadena CA 91101,'California Institute of Technology','Lingerie' 'Shopping' 'Fashion','Pasadena',Pasadena,CA,7,5,34.1396806,-118.1318823
Ithaca Ale House,111 N Aurora St Ithaca NY 14850,'Cornell University','Bars' 'American (New)' 'Nightlife' 'Restaurants',,Ithaca,NY,63,4,42.4399467,-76.4956514
Class of 1923 Ice Rink,3130 Walnut St University City Philadelphia PA 19104,'University of Pennsylvania','Skating Rinks' 'Active Life','University City',Philadelphia,PA,10,3,39.9508212,-75.1874845
Joelson Ealon MD,795 El Camino Real Palo Alto CA 94301,'Stanford University','Doctors' 'Health and Medical',,Palo Alto,CA,3,3.5,37.4402229,-122.1610427
Asian Food Center of Princeton,660 Plainsboro Rd Plainsboro NJ 08536,'Princeton University','Food' 'Specialty Food' 'Grocery' 'Ethnic Food',,Plainsboro,NJ,17,3,40.32761,-74.5754303
Yali's Stanley Hall Cafe,UC Berkeley Stanley Hall UC Campus Area Berkeley CA 94720,'University of California at Berkeley','Food' 'Coffee & Tea','UC Campus Area',Berkeley,CA,69,3,37.87380325,-122.2565997
TennisLosAngeles,Westwood Los Angeles CA 90024,'University of California - Los Angeles','Active Life' 'Tennis','Westwood',Los Angeles,CA,2,4,34.0631451,-118.4367551
Gia Pronto,3736 Spruce St University City Philadelphia PA 19104,'University of Pennsylvania','Food' 'Coffee & Tea' 'Italian' 'Sandwiches' 'Restaurants','University City',Philadelphia,PA,45,4,39.9511035,-75.198778
J Crew,1 Palmer Sq E Princeton NJ 08542,'Princeton University',,,Princeton,NJ,6,4,40.3497226,-74.6608591
Rodin Garden,Stanford University Stanford CA 94305,'Stanford University','Arts & Entertainment',,Stanford,CA,4,5,37.424487,-122.161587
Picotte Photography,465 S El Molino Ave Pasadena Pasadena CA 91101,'California Institute of Technology','Photographers' 'Event Planning & Services','Pasadena',Pasadena,CA,8,5,34.1378129,-118.1368089
Las Olas,3540 St Rd 38 E Lafayette IN 47905,'Purdue University','Mexican' 'Restaurants',,Lafayette,IN,2,3,40.3960005,-86.8510003
Morningside Park,110th to 123rd St Manhattan Ave to Morningside Dr Harlem New York NY 10027,'Columbia University','Active Life' 'Parks','Harlem',New York,NY,21,3.5,40.8092388,-73.9530133
Which Wich?,4730 University Way NE Ste 102 University District Seattle WA 98105,'University of Washington','Fast Food' 'Sandwiches' 'Restaurants','University District',Seattle,WA,85,4,47.664116,-122.312722
Alfred Hair Design,8 Eliot St Harvard Square Cambridge MA 02138,'Massachusetts Institute of Technology' 'Harvard University','Hair Salons' 'Beauty and Spas','Harvard Square',Cambridge,MA,4,3.5,42.3725306,-71.1215509
Polar Monkey,10912 Le Conte Ave Westwood Los Angeles CA 90024,'University of California - Los Angeles','Food' 'Ice Cream & Frozen Yogurt','Westwood',Los Angeles,CA,12,2.5,34.0636569,-118.4457947
Providence Monthly,128 N Main St College Hill Providence RI 02903,'Brown University','Print Media' 'Mass Media','College Hill',Providence,RI,3,2.5,41.828443,-71.409756
DT Kirbys,605 Main St Lafayette IN 47901,'Purdue University','American (Traditional)' 'Restaurants',,Lafayette,IN,68,4,40.418953,-86.890374
Ja Zams,25 Palmer Sq E Princeton NJ 08542,'Princeton University','Shopping' 'Toy Stores',,Princeton,NJ,13,5,40.3506436,-74.6609598
Atasca Broadway,50 Hampshire St Kendall Square/MIT Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Restaurants','Kendall Square/MIT',Cambridge,MA,3,4.5,42.366871,-71.0927485
Ultra Light Optics,17151 Newhope St Ste 203 Westwood Los Angeles CA 90024,'University of California - Los Angeles','Shopping' 'Eyewear & Opticians','Westwood',Los Angeles,CA,2,1,34.06432111,-118.4381104
Shanti Threading Salon,1305 NE 45th St Ste 209 University District Seattle WA 98105,'University of Washington','Hair Removal' 'Makeup Artists' 'Beauty and Spas','University District',Seattle,WA,7,5,47.6612128,-122.3138258
Jacobs Steve OD MA,620 N Main St Ste 101 Blacksburg VA 24060,'Virginia Tech','Optometrists' 'Health and Medical',,Blacksburg,VA,2,5,37.2342696,-80.419283
Cambridge Healing Arts,907 Massachusetts Ave 3rd Fl Rear Harvard Square Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Massage' 'Beauty and Spas','Harvard Square',Cambridge,MA,2,5,42.3736158,-71.1097335
Don Chon Taco Truck,Vermont and Adams South Los Angeles Los Angeles CA 90007,'University of Southern California','Food','South Los Angeles',Los Angeles,CA,3,4.5,34.0327687,-118.2915512
City of Claremont,570 W Bonita Ave Claremont CA 91711,'Harvey Mudd College','Public Services & Government' 'Police Departments',,Claremont,CA,5,4,34.0965218,-117.7223048
Mr. Steve's Pawn Shop,3800 S Western Ave Jefferson Park Los Angeles CA 90062,'University of Southern California','Shopping' 'Pawn Shops','Jefferson Park',Los Angeles,CA,2,5,34.0172631,-118.3087791
Faber Bookstore,2955 Market St Ste 125 University City Philadelphia PA 19104,'University of Pennsylvania','Books Mags Music and Video' 'Shopping' 'Bookstores','University City',Philadelphia,PA,3,1.5,39.954622,-75.185108
Vernon Coachworks,649 W Vernon Ave South Los Angeles Los Angeles CA 90037,'University of Southern California','Automotive' 'Body Shops','South Los Angeles',Los Angeles,CA,2,3,34.00383377,-118.2857819
Intown Laundry & Dry Cleaners Inc,2 Aborn St DownCity Providence RI 02903,'Brown University','Local Services' 'Dry Cleaning & Laundry','DownCity',Providence,RI,5,3,41.8215402,-71.4151446
San Luis Inn & Suites,404 Santa Rosa St San Luis Obispo CA 93405,'California Polytechnic State University','Hotels & Travel' 'Event Planning & Services' 'Hotels',,San Luis Obispo,CA,9,2,35.2872183,-120.6640363
Kelly John C R Realty Inc,3535 Blvd of the Allies Oakland Pittsburgh PA 15213,'Carnegie Mellon University','Property Management' 'Home Services' 'Real Estate','Oakland',Pittsburgh,PA,2,1,40.4347568,-79.9547713
Dolce Press,87 Uptown Rd Suite J105 Ithaca NY 14850,'Cornell University','Printing Services' 'Shopping' 'Arts & Crafts' 'Local Services' 'Event Planning & Services' 'Cards & Stationery' 'Bridal' 'Flowers & Gifts',,Ithaca,NY,3,5,42.4799434,-76.4734725
Xeo's Cafe,213 1/2 Dryden Rd Ithaca NY 14850,'Cornell University','Restaurants' 'Vietnamese',,Ithaca,NY,11,4.5,42.441472,-76.484526
Abby Auto Stereo,1963 S Hoover St South Los Angeles Los Angeles CA 90007,'University of Southern California','Car Stereo Installation' 'Automotive','South Los Angeles',Los Angeles,CA,2,3,34.0383626,-118.2841238
Green Tara Yoga,1202 Monte Vista Ave Ste 9 Upland CA 91786,'Harvey Mudd College','Active Life' 'Yoga' 'Fitness & Instruction',,Upland,CA,4,4.5,34.1071488,-117.6982995
Cafe Pamplona,12 Bow St Harvard Square Cambridge MA 02138,'Massachusetts Institute of Technology' 'Harvard University','Food' 'Coffee & Tea' 'Spanish' 'Basque' 'Restaurants','Harvard Square',Cambridge,MA,105,3.5,42.371751,-71.115472
Haagen-Dazs,10878 Kinross Ave Westwood Los Angeles CA 90024,'University of California - Los Angeles','Food' 'Ice Cream & Frozen Yogurt','Westwood',Los Angeles,CA,4,4,34.0607485,-118.4453174
Orvis Retail Store,345 S Lake Ave Pasadena Pasadena CA 91101,'California Institute of Technology',"u""Women's Clothing"" u""Men's Clothing"" 'Sporting Goods' 'Fashion' 'Shopping'",'Pasadena',Pasadena,CA,4,4.5,34.139926,-118.133108
Noah's Ark Kennel & Cattery,1217 E Franklin St Chapel Hill NC 27514,'University of North Carolina - Chapel Hill','Pet Services' 'Pet Boarding/Pet Sitting' 'Pets',,Chapel Hill,NC,8,4,35.9252478,-79.0374961
Symposium Books,240 Westminster Street DownCity Providence RI 02903,'Brown University','Books Mags Music and Video' 'Shopping' 'Bookstores','DownCity',Providence,RI,25,4.5,41.8228859,-71.4126272
Princeton MINI,3466 US Highway 1 Suite A Princeton NJ 08540,'Princeton University','Auto Repair' 'Automotive' 'Car Dealers',,Princeton,NJ,3,3.5,40.305238,-74.669008
Mish Mish,125 N Main St Ste 200 Blacksburg VA 24060,'Virginia Tech','Art Supplies' 'Shopping' 'Arts & Crafts',,Blacksburg,VA,2,5,37.2297,-80.4147
Executive Dry Cleaners,1048 Sagamore Pkwy W West Lafayette IN 47906,'Purdue University','Local Services' 'Dry Cleaning & Laundry',,West Lafayette,IN,2,4,40.4533862,-86.9201807
Decor Craft,275 Westminster St DownCity Providence RI 02903,'Brown University','Art Supplies' 'Shopping' 'Arts & Crafts','DownCity',Providence,RI,2,5,41.822575,-71.413568
El Mercado,9500 Gilman Dr La Jolla CA 92093,'University of California - San Diego','Mexican' 'Restaurants',,La Jolla,CA,4,2.5,32.8768892,-117.239913
Best Western Inn At the Peachtree,1201 W Peachtree St NW Ste 2800 Midtown Atlanta GA 30309,'Georgia Institute of Technology','Hotels & Travel' 'Event Planning & Services' 'Hotels','Midtown',Atlanta,GA,2,4.5,33.7869128,-84.3875602
Hoover Tower,550 Serra Mall Stanford CA 94305,'Stanford University','Public Services & Government',,Stanford,CA,18,4.5,37.4283002,-122.1665106
Omar's Hot Dog Stand,Corner of Vermont Ave and 29th St South Los Angeles Los Angeles CA 90007,'University of Southern California','Restaurants' 'Mexican' 'Food Stands' 'Hot Dogs','South Los Angeles',Los Angeles,CA,2,5,34.0283883,-118.2915252
Negash Auto Service,76 Pearl St Central Square Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Auto Repair' 'Automotive','Central Square',Cambridge,MA,5,5,42.3629852,-71.1044686
Papa John's Pizza,4815 Centre Ave Ste 4 Bloomfield Pittsburgh PA 15213,'Carnegie Mellon University','Pizza' 'Restaurants','Bloomfield',Pittsburgh,PA,4,2.5,40.453725,-79.946995
Moonlite Express,Margaret Morrison/Forbes Ave CMU Campus in front of Sorority Row Oakland Pittsburgh PA 15213,'Carnegie Mellon University','Specialty Food' 'Ethnic Food' 'Food Stands' 'Food' 'Restaurants','Oakland',Pittsburgh,PA,6,4,40.4379259,-79.9556424
Yoshinoya,36 Prospect St Central Square Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Food' 'Grocery','Central Square',Cambridge,MA,14,4,42.3659549,-71.1034605
Linnaea's Cafe,1110 Garden St San Luis Obispo CA 93401,'California Polytechnic State University','Food' 'Coffee & Tea' 'Cafes' 'Restaurants',,San Luis Obispo,CA,150,4,35.2791709,-120.6632064
Muriel Chastanet,1111 Glendon Ave Westwood Los Angeles CA 90024,'University of California - Los Angeles','Shopping' 'Jewelry','Westwood',Los Angeles,CA,2,5,34.0605212,-118.4443428
Green Street Photolab,1030 E Green St Pasadena Pasadena CA 91106,'California Institute of Technology','Local Services' 'Printing Services' 'Shopping' 'Photography Stores & Services','Pasadena',Pasadena,CA,11,4,34.144346,-118.128979
Shrine Auditorium & Expo Center,649 W Jefferson Blvd South Los Angeles Los Angeles CA 90007,'University of Southern California','Arts & Entertainment' 'Cinema' 'Event Planning & Services' 'Venues & Event Spaces','South Los Angeles',Los Angeles,CA,87,3.5,34.0225788,-118.2813035
Thai Cafe,Basement of 420 Jordan Hall 450 Serra Mall Stanford CA 94305,'Stanford University','Thai' 'Restaurants',,Stanford,CA,72,3.5,37.4283014,-122.1688301
Hilgard House Hotel & Suites,927 Hilgard Ave Westwood Los Angeles CA 90024,'University of California - Los Angeles','Hotels & Travel' 'Event Planning & Services' 'Hotels','Westwood',Los Angeles,CA,16,3.5,34.063193,-118.441732
Shaman Drum Bookshop,313 S State St Downtown Ann Arbor Ann Arbor MI 48104,'University of Michigan - Ann Arbor','Books Mags Music and Video' 'Shopping' 'Bookstores','Downtown Ann Arbor',Ann Arbor,MI,14,3.5,42.2789654,-83.7408076
Bombay Bite,1051 Gayley Ave Westwood Westwood CA 90024,'University of California - Los Angeles','Indian' 'Restaurants','Westwood',Westwood,CA,84,3,34.0610559,-118.4472248
New York Dry Cleaners,200 W 106th St Manhattan Valley New York NY 10025,'Columbia University','Local Services' 'Dry Cleaning & Laundry','Manhattan Valley',New York,NY,2,5,40.800323,-73.965779
Paper Heaven,2570 Bancroft Way Telegraph Ave Berkeley CA 94704,'University of California at Berkeley','Shopping' 'Arts & Crafts' 'Costumes' 'Cards & Stationery' 'Event Planning & Services' 'Party Supplies' 'Flowers & Gifts','Telegraph Ave' 'UC Campus Area',Berkeley,CA,25,4,37.8689082,-122.257512
China Town Express,950 E Colorado Blvd Ste 104 Pasadena Pasadena CA 91106,'California Institute of Technology','Fast Food' 'Chinese' 'Restaurants','Pasadena',Pasadena,CA,6,2.5,34.1457411,-118.1302377
UCLA Medical Center,200 UCLA Medical Plz Ste 420 Westwood Los Angeles CA 90095,'University of California - Los Angeles','Doctors' 'Health and Medical','Westwood',Los Angeles,CA,5,5,34.0649832,-118.4464735
Arby's,2650 Market St Christiansburg VA 24073,'Virginia Tech','American (New)' 'Restaurants',,Christiansburg,VA,2,3,37.1659999,-80.4223
50 North,5001 25th Ave NE University District Seattle WA 98105,'University of Washington','American (New)' 'Restaurants','University District',Seattle,WA,85,3.5,47.665048,-122.300996
esthetiX by Cristina,1062 Westwood Blvd Westwood Los Angeles CA 90024,'University of California - Los Angeles','Beauty and Spas','Westwood',Los Angeles,CA,2,5,34.0612791,-118.4452352
Gelavino Gelato,301 N Harrison St Princeton NJ 08540,'Princeton University','Gelato' 'Food' 'Ice Cream & Frozen Yogurt',,Princeton,NJ,10,4.5,40.3634191,-74.6496534
Complete Women's Care Center,7900 Fannin St Ste 3000 Medical Center Houston TX 77030,'Rice University','Doctors' 'Health and Medical' 'Obstetricians and Gynecologists','Medical Center',Houston,TX,10,4.5,29.70804,-95.40126
Plant Safari,653 N Central Ave Upland CA 91786,'Harvey Mudd College','Shopping' 'Nurseries & Gardening' 'Home & Garden',,Upland,CA,2,5,34.101523,-117.690163
Selena's Cafe,49 3rd St Troy NY 12180,'Rensselaer Polytechnic Institute','Breakfast & Brunch' 'Sandwiches' 'Restaurants',,Troy,NY,3,3.5,42.730607,-73.6907669
University Cooperative Housing Association,500 Landfair Ave Westwood Los Angeles CA 90024,'University of California - Los Angeles','Home Services' 'Real Estate' 'Apartments','Westwood',Los Angeles,CA,8,2.5,34.068516,-118.45077
University Club at Penn,3600 Sansom St University City Philadelphia PA 19104,'University of Pennsylvania','Breakfast & Brunch' 'American (New)' 'Restaurants','University City',Philadelphia,PA,4,3,39.9538657,-75.1956868
Jimi James Expert Hair Colorist,44 Prospect St Central Square Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Hair Salons' 'Beauty and Spas','Central Square',Cambridge,MA,2,4.5,42.3661591,-71.1032763
Barbieri Ron DDS,1131 Pacific St San Luis Obispo CA 93401,'California Polytechnic State University','Oral Surgeons' 'Dentists' 'Health and Medical',,San Luis Obispo,CA,4,4,35.280489,-120.657374
D'Franco Family Hair Salon,7411 Riggs Rd Ste 109 Hyattsville MD 20783,'University of Maryland - College Park','Hair Salons' 'Beauty and Spas',,Hyattsville,MD,5,4,38.9818254,-76.978976
Zoom Room Claremont,405 W Foothill Blvd Ste 204 Claremont CA 91711,'Harvey Mudd College','Pet Services' 'Pet Training' 'Pets',,Claremont,CA,10,4.5,34.1071557,-117.7204084
Cvs Pharmacy,100 N Greensboro St Chapel Hill NC 27514,'University of North Carolina - Chapel Hill','Shopping' 'Drugstores',,Chapel Hill,NC,2,3,35.9106318,-79.0721697
Thomas Kendall Lawyer,143 Harvard Ave Ste E Claremont CA 91711,'Harvey Mudd College','Professional Services' 'Lawyers' 'Divorce and Family Law',,Claremont,CA,2,5,34.0950716,-117.7164551
Pillar To Post,216 Oak Bend University of Texas Liberty Hill TX 78642,'University of Texas - Austin','Home Services' 'Home Inspectors','University of Texas',Liberty Hill,TX,6,3,30.2961708,-97.7389543
Mecom Fountain,5800 Main St Museum District Houston TX 77005,'Rice University','Active Life' 'Parks','Museum District',Houston,TX,8,4.5,29.7237878,-95.3913378
It's A Grind Coffee House,1010 Glendon Ave Westwood Los Angeles CA 90024,'University of California - Los Angeles','Food' 'Coffee & Tea','Westwood',Los Angeles,CA,24,4,34.0622678,-118.4440668
E-6 Lab of Atlanta Inc,678 10th St NW Westside / Home Park Atlanta GA 30318,'Georgia Institute of Technology','Shopping' 'Photography Stores & Services','Westside / Home Park',Atlanta,GA,6,5,33.781325,-84.409632
Drexel University,3141 Chestnut St University City Philadelphia PA 19104,'University of Pennsylvania','Colleges & Universities' 'Education','University City',Philadelphia,PA,11,3.5,39.953829,-75.186927
Office Depot,859 Spring Street NW Midtown Atlanta GA 30308,'Georgia Institute of Technology',,'Midtown',Atlanta,GA,3,4.5,33.7781487,-84.3886403
Ten Thousand Villages,303 S Main St Downtown Ann Arbor Ann Arbor MI 48104,'University of Michigan - Ann Arbor','Flowers & Gifts' 'Shopping' 'Public Services & Government','Downtown Ann Arbor',Ann Arbor,MI,17,4.5,42.2794757,-83.7486035
Beyond Juice,614 E Liberty St Downtown Ann Arbor Ann Arbor MI 48113,'University of Michigan - Ann Arbor','Food' 'Juice Bars & Smoothies','Downtown Ann Arbor',Ann Arbor,MI,8,4,42.2793662,-83.7418374
Cafe Allegro At the College Inn,4002 University Way NE University District Seattle WA 98105,'University of Washington','Restaurants','University District',Seattle,WA,22,3.5,47.6551964,-122.3132618
Angry Mom Records,115 the commons in Autumn Leaves' basement Ithaca NY 14850,'Cornell University','Books Mags Music and Video' 'Vinyl Records' 'Shopping',,Ithaca,NY,6,5,42.444589,-76.499268
College Park Auto Service,9891 Rhode Island Avenue College Park MD 20740,'University of Maryland - College Park','Automotive' 'Gas & Service Stations',,College Park,MD,4,4.5,39.0157662,-76.9208301
The Pearl Street Housing Co-op,2000 Pearl St West Campus Austin TX 78705,'University of Texas - Austin','Home Services' 'Real Estate' 'Apartments','West Campus' 'University of Texas',Austin,TX,2,5,30.284001,-97.7468028
Cafe Intermezzo,2442 Telegraph Ave Telegraph Ave Berkeley CA 94704,'University of California at Berkeley','Soup' 'Sandwiches' 'Restaurants','Telegraph Ave' 'UC Campus Area',Berkeley,CA,849,4,37.8661704,-122.2588105
Eve,415 N 5th Ave Kerrytown Ann Arbor Ann Arbor MI 48104,'University of Michigan - Ann Arbor','American (New)' 'French' 'Restaurants','Kerrytown Ann Arbor',Ann Arbor,MI,86,4,42.2846571,-83.7466306
Rue-Bis,95 South St DownCity Providence RI 02903,'Brown University','Food' 'Desserts' 'Sandwiches' 'Restaurants','DownCity',Providence,RI,16,4,41.8168113,-71.4092755
Mint Leaf,250 W 1st St Ste 250 Claremont CA 91711,'Harvey Mudd College','Massage' 'Beauty and Spas',,Claremont,CA,16,5,34.0943947,-117.7179955
Whole Foods Market,3495 US Hwy 1 Princeton NJ 08540,'Princeton University','Food' 'Specialty Food' 'Grocery' 'Health Markets',,Princeton,NJ,42,4,40.309671,-74.6676499
Villa Vicenza,8895 Caminto Plz Centro University City San Diego CA 92122,'University of California - San Diego','Property Management' 'Home Services' 'Real Estate' 'Apartments','University City',San Diego,CA,10,2,32.86632314,-117.2268677
DO-It-Best-Hardware,107 W Springfield Ave Champaign IL 61820,'University of Illinois - Urbana-Champaign','Hardware Stores' 'Shopping' 'Home & Garden',,Champaign,IL,2,5,40.1125957,-88.2445784
The Natural Shoe Store,220 South 40th St University City Philadelphia PA 19104,'University of Pennsylvania','Fashion' 'Shopping' 'Shoe Stores','University City' 'Spruce Hill',Philadelphia,PA,7,3.5,39.9540162,-75.203201
Sbarro's Restaurant,5044 E Montclair Plaza Ln Montclair CA 91763,'Harvey Mudd College','Restaurants',,Montclair,CA,2,1,34.0883658,-117.6950076
Birthwise Birth & Family Center,1709 Rio Grande St Downtown Austin TX 78701,'University of Texas - Austin','Midwives' 'Medical Centers' 'Health and Medical','Downtown',Austin,TX,11,4.5,30.2811614,-97.7451156
Pleasant Peasant,555 Peachtree St NE Downtown Atlanta GA 30308,'Georgia Institute of Technology','Breakfast & Brunch' 'American (Traditional)' 'Restaurants','Downtown',Atlanta,GA,6,3,33.76966,-84.3850629
Cafe Noir,125 N Main St College Hill Providence RI 02903,'Brown University','French' 'Restaurants','College Hill',Providence,RI,34,3.5,41.828387,-71.409408
Above Ground,983 Columbus Ave Manhattan Valley New York NY 10025,'Columbia University','Hair Salons' 'Beauty and Spas','Manhattan Valley',New York,NY,2,4,40.800572,-73.961483
Happy All Chinese Restaurant,2502 W Holcombe Blvd West University Houston TX 77030,'Rice University','Chinese' 'Restaurants','West University' 'Braeswood Place',Houston,TX,18,3,29.7062518,-95.4167994
Nexus Cafe,318 Campus Dr Stanford CA 94305,'Stanford University','Sandwiches' 'Pizza' 'American (New)' 'Asian Fusion' 'Restaurants',,Stanford,CA,61,3.5,37.430793,-122.1741966
The Den Recorders,995 East Green St Ste 509 Pasadena Pasadena CA 91106,'California Institute of Technology','Recording & Rehearsal Studios' 'Professional Services' 'Local Services' 'Video/Film Production','Pasadena',Pasadena,CA,3,5,34.1445833,-118.1296977
Kona's Deli,726 Higuera St San Luis Obispo CA 93401,'California Polytechnic State University','Delis' 'Restaurants',,San Luis Obispo,CA,4,3.5,35.2792036,-120.6642199
Jack In The Box,1415 E Colorado Blvd Pasadena Pasadena CA 91106,'California Institute of Technology','Burgers' 'Fast Food' 'Restaurants','Pasadena',Pasadena,CA,19,3.5,34.1459656,-118.1213915
Hot Wok Cafe,217 Clarksville Rd Princeton Junction NJ 08550,'Princeton University','Chinese' 'Restaurants',,Princeton Junction,NJ,15,4,40.3002139,-74.641201
Bites and Brews,5750 Ellsworth Ave Shadyside Pittsburgh PA 15232,'Carnegie Mellon University','Pizza' 'Restaurants','Shadyside',Pittsburgh,PA,48,3.5,40.455682,-79.9311438
Whitehouse Salon,731 Filbert St Shadyside Pittsburgh PA 15232,'Carnegie Mellon University',"'Hair Salons' 'Barbers' u""Men's Hair Salons"" 'Beauty and Spas'",'Shadyside',Pittsburgh,PA,8,5,40.4517102,-79.9330766
Zop Soap,186 Union St DownCity Providence RI 02903,'Brown University','Shopping' 'Cosmetics & Beauty Supply' 'Beauty and Spas','DownCity',Providence,RI,4,5,41.8225954,-71.4126081
Carmon's Bistro,415 N Neil St Champaign IL 61820,'University of Illinois - Urbana-Champaign','Cafes' 'French' 'Restaurants',,Champaign,IL,17,3.5,40.1198574,-88.243676
Columbia Bartending Agency & School of Mixology,2960 Broadway MC 5727 Morningside Heights New York NY 10027,'Columbia University','Specialty Schools' 'Education','Morningside Heights',New York,NY,5,5,40.80702058,-73.96317959
Franklin Woods,1521 E Franklin St Chapel Hill NC 27514,'University of North Carolina - Chapel Hill','Home Services' 'Real Estate' 'Apartments',,Chapel Hill,NC,2,1.5,35.932952,-79.0323559
Feathers Furniture Co,831 Hoosick Rd Troy NY 12180,'Rensselaer Polytechnic Institute','Shopping' 'Home & Garden' 'Furniture Stores',,Troy,NY,2,2.5,42.7503815,-73.6324951
Toss Designs,855 El Camino Real Ste 20B Palo Alto CA 94301,'Stanford University','Shopping',,Palo Alto,CA,3,3.5,37.4382353,-122.1585402
Peter Schwartz MD,2333 N Triphammer Rd Ste 403 Ithaca NY 14850,'Cornell University','Doctors' 'Ophthalmologists' 'Health and Medical',,Ithaca,NY,3,4.5,42.484126,-76.484708
Victoria's Secret,2415 Sagamore Parkway S Lafayette IN 47905,'Purdue University',"u""Women's Clothing"" 'Lingerie' 'Shopping' 'Fashion'",,Lafayette,IN,3,4.5,40.3936266,-86.8518913
Nazli Shaw Photography,Westwood Los Angeles CA 90024,'University of California - Los Angeles','Photographers' 'Event Planning & Services','Westwood',Los Angeles,CA,4,5,34.0631451,-118.4367551
India Pavilion Restaurant,17 Central Sq Central Square Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Pakistani' 'Indian' 'Restaurants','Central Square',Cambridge,MA,169,3.5,42.3654875,-71.10417
Barnes & Noble Bookstore,3535 US Hwy 1 Princeton NJ 08540,'Princeton University','Books Mags Music and Video' 'Shopping' 'Bookstores',,Princeton,NJ,5,3,40.311667,-74.662825
Brothers Restaurant & Deli,4250 Executive Sq Ste 125 La Jolla CA 92037,'University of California - San Diego','Breakfast & Brunch' 'Restaurants',,La Jolla,CA,5,3,32.874484,-117.214722
Thai Corner Food Express,3655 S Grand Ave Ste C4 South Los Angeles Los Angeles CA 90007,'University of Southern California','Thai' 'Restaurants','South Los Angeles' 'South East LA',Los Angeles,CA,60,3.5,34.017376,-118.278063
The Muddy Charles Pub at MIT,142 Memorial Dr Kendall Square/MIT Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Pubs' 'Bars' 'Nightlife','Kendall Square/MIT',Cambridge,MA,42,4,42.3589575,-71.0880625
McDonald's,463 Massachusetts Avenue Central Square Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Fast Food' 'Restaurants','Central Square',Cambridge,MA,23,2,42.3637997,-71.1010305
Lucky Brand,2614 NE University Village University District Seattle WA 98105,'University of Washington',"u""Women's Clothing"" u""Men's Clothing"" 'Fashion' 'Shopping'",'University District',Seattle,WA,6,4,47.6632691,-122.2994426
Inihaw,169 E Franklin St Chapel Hill NC 27514,'University of North Carolina - Chapel Hill','Filipino' 'Restaurants',,Chapel Hill,NC,4,3.5,35.9137655,-79.054232
Pangrazio Music Conservatory,10808 Le Conte Ave Westwood Los Angeles CA 90024,'University of California - Los Angeles','Arts & Entertainment' 'Education' 'Performing Arts' 'Educational Services','Westwood',Los Angeles,CA,3,4.5,34.063664,-118.4416262
Bank of America,395 Quarry Road Palo Alto CA 94309,'Stanford University','Banks & Credit Unions' 'Financial Services',,Palo Alto,CA,7,2.5,37.439678,-122.170597
Amherst College Museum of Natural History,Amherst College 11 Barrett Hill Rd Amherst MA 01002,'University of Massachusetts - Amherst','Museums' 'Arts & Entertainment',,Amherst,MA,3,4.5,42.37184569,-72.51416445
Aurum Lounge,108 8th St Midtown Atlanta GA 30309,'Georgia Institute of Technology','Bars' 'Nightlife' 'Lounges','Midtown',Atlanta,GA,38,3,33.7795389,-84.3837449
Fort Washington,115 Waverly St Cambridge MA 02139,'Massachusetts Institute of Technology' 'Harvard University','Active Life' 'Landmarks & Historical Buildings' 'Public Services & Government' 'Parks',,Cambridge,MA,8,4.5,42.3565142,-71.1048705
Chan Grace MD,Palo Alto Medical Foundation 795 El Camino Real Palo Alto CA 94301,'Stanford University','Doctors' 'Health and Medical',,Palo Alto,CA,2,1.5,37.4399911,-122.161728
Pagliacci Pizza,4529 University Way NE University District Seattle WA 98105,'University of Washington','Italian' 'Pizza' 'Restaurants','University District',Seattle,WA,95,4,47.6621632,-122.3131097
Pasadena Medical & Dental Specialists,1092 E Green St Pasadena Pasadena CA 91106,'California Institute of Technology','Oral Surgeons' 'Dentists' 'Health and Medical' 'General Dentistry','Pasadena',Pasadena,CA,2,4,34.1443749,-118.127836
